Index,Smiles
686,C#CC1OC=NO1
687,CCC1OC=NO1
688,CC=C(C)C=NO
689,CC=C(C)C(N)=O
690,CC=CC(C)=NO
691,CC=CCC=NO
692,CC=CCC(N)=O
693,CC(=C)C(C)=NO
694,CC(=C)CC=NO
695,CC(=C)CC(N)=O
696,CC(C=C)C=NO
697,CC(C=C)C(N)=O
698,CC(C)=CC=NO
699,CC(C)=CC(N)=O
700,CC(C)(C)C=NO
701,CC(C)(C)C(N)=O
702,CC(C)C(C)=NO
703,CC(C)CC=NO
704,CC(C)CC(N)=O
705,CC(C#C)C(N)=O
706,CC(CC=C)=NO
707,CC(CC#C)=NO
708,CC#CC(C)=NO
709,CC#CCC=NO
710,CC#CCC(N)=O
711,CCC=CC=NO
712,CCC=CC(N)=O
713,CCC(=C)C=NO
714,CCC(=C)C(N)=O
715,CCC(C=C)=NO
716,CCC(C)C=NO
717,CCC(C)C(N)=O
718,CCC(CC)=NO
719,CCC#CC=NO
720,CCC#CC(N)=O
721,CCCC(C)=NO
722,CCCCC=NO
723,CCCCC(N)=O
724,C=C(CC#N)C=O
725,C=CC=CNC=O
726,C=CC(=C)NC=O
727,C=CCCNC=O
728,CC=C(C)NC=O
729,CC=C(CN)CO
730,CC=CC(N)CO
731,CC=CCNC=O
732,CC(=C)C(N)CO
733,CC(=C)CNC=O
734,CC(C)=CNC=O
735,CC(C)(C)NC=O
736,CC(C)(CN)CO
737,CC(C)C(N)CO
738,CC(C)CNC=O
739,CC(CC#N)C=O
740,CC#CC(N)CO
741,CC#CCNC=O
742,CCC=CNC=O
743,CCC(=C)NC=O
744,CCC(C=O)=CN
745,CCC(C)(N)CO
746,CCC(C)NC=O
747,CCC(CN)CO
748,CCCC(N)CO
749,CCCCNC=O
750,CC=CC(=N)NO
751,CC(=C)C(=N)NO
752,CC(C=CN)=NO
753,CC(C)C(=N)NO
754,CC(CC#N)=NO
755,CC(CCN)=NO
756,CC#CC(=N)NO
757,CCC(CN)=NO
758,CCCC(=N)NO
759,CCC(C)=NOC
760,CCC(CN)OC
761,CCCC=NOC
762,C=C(CC=O)C#N
763,C=CC(C=O)C#N
764,C=CCC(=O)C#N
765,CC=C(C=O)C#N
766,CC=C(CO)C#N
767,CC=CC(=O)C#N
768,CC=CC(O)CN
769,CC=CC(O)C#N
770,CC(=C)C(=O)C#N
771,CC(=C)C(O)CN
772,CC(=C)C(O)C#N
773,CC(=CC=O)C#N
774,CC(=CCO)C#N
775,CC(C)(C=O)C#N
776,CC(C)(CO)C#N
777,CC(C)C(=O)C#N
778,CC(C)C(O)CN
779,CC(C)C(O)C#N
780,CC(CC=O)C#N
781,CC(CCO)C#N
782,CC#CC(=O)C#N
783,CC#CC(O)CN
784,CC#CC(O)C#N
785,CCC(C=O)C#N
786,CCC(C)(O)CN
787,CCC(C)(O)C#N
788,CCC(CO)C#N
789,CCCC(=O)C#N
790,CCCC(O)CN
791,CCCC(O)C#N
792,C=CCCON=C
793,CC=CCON=C
794,CC(=C)CON=C
795,CC(C)(C)ON=C
796,CC(C)CON=C
797,CC#CCON=C
798,CCC(C)ON=C
799,CCC(CO)NC
800,CCCC(=O)NC
801,CCCCON=C
802,CC=CC(=O)NN
803,CC(=C)C(=O)NN
804,CC(C)C(=O)NN
805,CC(CCO)=NN
806,CC#CC(=O)NN
807,CCC(CO)=NN
808,CCCC(=O)NN
809,CC=CC(=O)NO
810,CC(=C)C(=O)NO
811,CC(C)C(=O)NO
812,CC(CC=O)=NO
813,CC(CCO)=NO
814,CC#CC(=O)NO
815,CCC(C=O)=NO
816,CCC(CO)=NO
817,CCCC(=O)NO
818,C=C(C#N)C1CO1
819,CC(C)(N)C1CO1
820,CC(C#N)C1CO1
821,CC(CN)C1CO1
822,CCC(N)C1CO1
823,CCCNCCO
824,C=CCNCC=O
825,CC=CN(C)C=O
826,CC=CNC(C)=O
827,CC(=C)NC(C)=O
828,CC(C)NCCO
829,CC(C)(N)CCO
830,CC(C)N(C)C=O
831,CC(C)NC(C)=O
832,CC(C)NCC=O
833,CC(C#N)C(C)=O
834,CC(CN)CCO
835,CC(CN)=CCO
836,CCC(N)CCO
837,CCC(N)=CC=O
838,CCC(N)C(C)O
839,CCC(NC)C=O
840,CCCN(C)C=O
841,CCCNC(C)=O
842,CCCNCC=O
843,CC=CN=CNO
844,CC=CNC(N)=O
845,CC(=C)N=CNO
846,CC(=C)NC(N)=O
847,CC(=CN)C=NO
848,CC(=CN)C(N)=O
849,CC(C)(N)C=NO
850,CC(C)(N)C(N)=O
851,CC(C)N=CNO
852,CC(C)NC(N)=O
853,CC(C#N)C(N)=O
854,CC(CN)C=NO
855,CC(CN)C(N)=O
856,CCC(N)C=NO
857,CCC(N)C(N)=O
858,CCC(NC)=NO
859,CCCN=CNO
860,CCCNC(N)=O
861,CCC(N)COC
862,CC(=CN)C(O)=O
863,CC(C)(N)C(O)=O
